Triangle,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Denominator Time (s),Ground Truth Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),INSIDE,19.175825347490527,72.96273606351623,0.013944,0.002761,0.001456,0.0,1e-06,0.018161
T3 (Scaled ×2.0),INSIDE,19.163949217065156,72.96311567924731,0.019656,0.00295,0.001458,0.0,2e-06,0.024065
T3 (Scaled ×2.0),INSIDE,19.158847203646893,72.94713847847771,0.033559,0.003069,0.001487,1e-06,3e-06,0.038115
T3 (Scaled ×2.0),INSIDE,19.16901371776477,72.93796206578544,0.024944,0.0028,0.001495,1e-06,2e-06,0.02924
T3 (Scaled ×2.0),INSIDE,19.185862973103543,72.96454520541884,0.030999,0.00284,0.001463,0.0,4e-06,0.035303
T3 (Scaled ×2.0),INSIDE,19.155537235627072,72.94409730275748,0.031427,0.002776,0.001481,0.0,3e-06,0.035685
T3 (Scaled ×2.0),INSIDE,19.169824592536457,72.95771464263144,0.030136,0.002828,0.0015,1e-06,2e-06,0.034465
T3 (Scaled ×2.0),INSIDE,19.17726634141254,72.97900866978169,0.029466,0.002877,0.001508,1e-06,3e-06,0.033852
T3 (Scaled ×2.0),INSIDE,19.1785859089386,72.9792925756853,0.029776,0.002759,0.001484,0.0,3e-06,0.034019
T3 (Scaled ×2.0),INSIDE,19.172375197977885,72.96540103014986,0.032049,0.00279,0.001479,0.0,3e-06,0.036319
T3 (Scaled ×2.0),INSIDE,19.18671370650895,72.95874278878586,0.03099,0.002828,0.001443,0.0,3e-06,0.035261
T3 (Scaled ×2.0),INSIDE,19.17899932500264,72.9744076064804,0.030678,0.002782,0.001483,0.0,3e-06,0.034943
T3 (Scaled ×2.0),INSIDE,19.182451807826823,72.94174675293563,0.027705,0.002764,0.001488,0.0,2e-06,0.031958
T3 (Scaled ×2.0),INSIDE,19.186313209322222,72.96554719064075,0.027761,0.002999,0.001504,1e-06,3e-06,0.032265
T3 (Scaled ×2.0),INSIDE,19.17118761515445,72.94631146031855,0.029323,0.00281,0.001461,0.0,3e-06,0.033594
T3 (Scaled ×2.0),INSIDE,19.163919657890382,72.96053515830035,0.031612,0.002811,0.001461,1e-06,3e-06,0.035886
T3 (Scaled ×2.0),INSIDE,19.177636237251487,72.96803459191291,0.030206,0.002986,0.001489,1e-06,3e-06,0.034682
T3 (Scaled ×2.0),INSIDE,19.159344605974038,72.94318254642691,0.031534,0.002906,0.001533,0.0,2e-06,0.035973
T3 (Scaled ×2.0),INSIDE,19.171902116230232,72.9405325051668,0.029492,0.002899,0.001473,1e-06,3e-06,0.033866
T3 (Scaled ×2.0),INSIDE,19.1681128624904,72.96475329604387,0.031581,0.002843,0.00146,0.0,3e-06,0.035884
T3 (Scaled ×2.0),INSIDE,19.17787700518326,72.96469300186864,0.028565,0.002799,0.00148,1e-06,3e-06,0.032845
T3 (Scaled ×2.0),INSIDE,19.17020049184455,72.93563264297408,0.031876,0.002859,0.001465,1e-06,3e-06,0.036201
T3 (Scaled ×2.0),INSIDE,19.176666503457742,72.96180416386959,0.027539,0.002859,0.001502,1e-06,3e-06,0.0319
T3 (Scaled ×2.0),INSIDE,19.171437391594125,72.94395796089499,0.030608,0.002774,0.001477,1e-06,2e-06,0.03486
