Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T3 (Scaled ×2.0),200,OUTSIDE,19.13949661327401,72.94373067452253,0.029061,0.002799,0.001472,0.033332
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.187130095684175,72.97293425678772,0.028385,0.002775,0.001469,0.03263
T3 (Scaled ×2.0),200,INSIDE,19.179934208129044,72.96972195522177,0.0287,0.00288,0.001483,0.033064
T3 (Scaled ×2.0),200,OUTSIDE,19.162183618208164,72.97370854941414,0.030708,0.002781,0.001467,0.034956
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.186892467178474,72.94897580463858,0.035171,0.002776,0.001484,0.039432
T3 (Scaled ×2.0),200,INSIDE,19.177792834700625,72.93778479850326,0.031316,0.002826,0.001482,0.035625
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.18713621015613,72.9728081071194,0.034807,0.002797,0.001468,0.039073
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.182621842221202,72.98667337693016,0.031454,0.002841,0.001466,0.035762
T3 (Scaled ×2.0),200,INSIDE,19.169271916130356,72.96218776889013,0.033762,0.002795,0.001463,0.038021
T3 (Scaled ×2.0),200,INSIDE,19.17658707050882,72.9352397477818,0.03037,0.002803,0.006362,0.039536
T3 (Scaled ×2.0),200,INSIDE,19.17394517388457,72.9648961801661,0.02978,0.002915,0.00149,0.034186
T3 (Scaled ×2.0),200,INSIDE,19.1663093376737,72.964111338511,0.029744,0.002771,0.001499,0.034015
T3 (Scaled ×2.0),200,INSIDE,19.17279717127768,72.93564161549094,0.023313,0.002771,0.001494,0.027578
T3 (Scaled ×2.0),200,OUTSIDE,19.159179860841743,72.95998415233541,0.031768,0.00281,0.00147,0.036049
T3 (Scaled ×2.0),200,OUTSIDE,19.193999392873913,73.0022118571252,0.026986,0.002861,0.001533,0.031381
T3 (Scaled ×2.0),200,INSIDE,19.168704708955747,72.9489196947928,0.030828,0.002899,0.001529,0.035257
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.168120893970958,72.93654866437508,0.033586,0.002804,0.001491,0.037881
T3 (Scaled ×2.0),200,ON_BOUNDARY,19.1869185608308,72.95169468482959,0.032022,0.002869,0.001582,0.036474
