Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T1 (Default),400,OUTSIDE,19.177998797846428,72.93973437337372,0.031236,0.002862,0.001487,0.035585
T1 (Default),400,ON_BOUNDARY,19.1806905689293,72.95961755388764,0.034173,0.002819,0.001461,0.038453
T1 (Default),400,OUTSIDE,19.160704908945252,72.9476573921389,0.032775,0.002848,0.001462,0.037086
T1 (Default),400,INSIDE,19.16632030332511,72.95473523914757,0.025764,0.002821,0.001459,0.030045
T1 (Default),400,INSIDE,19.17706350904643,72.96444717881955,0.028623,0.002834,0.001476,0.032934
T1 (Default),400,OUTSIDE,19.187213573630054,72.93473403547192,0.030713,0.002852,0.001477,0.035043
T1 (Default),400,INSIDE,19.180310405073435,72.94295212046079,0.026461,0.00282,0.00157,0.030851
T1 (Default),400,INSIDE,19.170142755198086,72.95861947813081,0.022709,0.002893,0.001463,0.027066
T1 (Default),400,INSIDE,19.179029715219116,72.94762497973309,0.026463,0.002848,0.00148,0.030791
T1 (Default),400,ON_BOUNDARY,19.162327842707004,72.95126760014307,0.032939,0.00283,0.001453,0.037223
T1 (Default),400,OUTSIDE,19.162673055281033,72.9414196784975,0.030084,0.002827,0.001495,0.034407
T1 (Default),400,INSIDE,19.17230547926463,72.96034566139777,0.026704,0.002884,0.00148,0.031069
T1 (Default),400,INSIDE,19.175847384107712,72.95828246365636,0.034636,0.002836,0.00147,0.038942
T1 (Default),400,INSIDE,19.178003074560724,72.96537688748116,0.027148,0.002854,0.001486,0.031489
T1 (Default),400,OUTSIDE,19.15805913758748,72.96966048556492,0.044401,0.002969,0.001497,0.048867
T1 (Default),400,OUTSIDE,19.182226495208727,72.93699777708456,0.030652,0.002896,0.00156,0.035109
T1 (Default),400,ON_BOUNDARY,19.173120828771765,72.96442540488951,0.026623,0.002818,0.001474,0.030916
T1 (Default),400,ON_BOUNDARY,19.18050883485793,72.94207066332878,0.031014,0.002842,0.001498,0.035354
T1 (Default),400,INSIDE,19.168065061093326,72.95159649628556,0.032664,0.00284,0.001473,0.036978
