Triangle,Total Points,Class,Latitude,Longitude,Encryption Time (s),Computation Time (s),Decryption Time (s),Total CKKS Time (s)
T2 (Scaled ×1.5),50,OUTSIDE,19.18468844596205,72.95946302923376,0.023952,0.002803,0.001462,0.028217
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.184074347133922,72.98221513463426,0.027201,0.002775,0.001458,0.031435
T2 (Scaled ×1.5),50,OUTSIDE,19.1485139605483,72.9257029743687,0.030481,0.002907,0.001455,0.034844
T2 (Scaled ×1.5),50,OUTSIDE,19.15360307531776,72.9534470275569,0.02863,0.002786,0.001463,0.032879
T2 (Scaled ×1.5),50,OUTSIDE,19.151983290109616,72.9452842368376,0.031124,0.002821,0.001462,0.035408
T2 (Scaled ×1.5),50,INSIDE,19.180345629583844,72.96194065165395,0.030095,0.002783,0.001459,0.034338
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.183887579398007,72.96426578329257,0.030978,0.002796,0.001456,0.03523
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.163902986182887,72.94401397702867,0.031514,0.002766,0.001447,0.035728
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.162163716051875,72.95640366794616,0.032688,0.00281,0.001456,0.036955
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.18398098210736,72.9725815700697,0.033772,0.002806,0.001462,0.038041
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.18088793072148,72.97923113704796,0.031138,0.002783,0.001455,0.035376
T2 (Scaled ×1.5),50,INSIDE,19.171751469973184,72.96364236062357,0.032405,0.002797,0.00145,0.036653
T2 (Scaled ×1.5),50,OUTSIDE,19.1651844003424,72.97649279189267,0.032795,0.002851,0.001476,0.037122
T2 (Scaled ×1.5),50,OUTSIDE,19.15406144279307,72.9295164115763,0.017133,0.002777,0.001456,0.021366
T2 (Scaled ×1.5),50,INSIDE,19.17246826966164,72.96878172174253,0.032053,0.00278,0.001467,0.0363
T2 (Scaled ×1.5),50,INSIDE,19.166295340378642,72.9548408118092,0.022028,0.00286,0.001459,0.026347
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.16348771654069,72.95803082343032,0.024791,0.002805,0.001456,0.029052
T2 (Scaled ×1.5),50,OUTSIDE,19.1751940796671,72.99208859358981,0.030039,0.002763,0.001461,0.034263
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.182869179512316,72.9348650761814,0.032783,0.002776,0.001449,0.037008
T2 (Scaled ×1.5),50,OUTSIDE,19.155846836644095,72.98825980930779,0.032279,0.002788,0.001451,0.036519
T2 (Scaled ×1.5),50,INSIDE,19.17973389109878,72.96910141448251,0.029501,0.002771,0.001451,0.033723
T2 (Scaled ×1.5),50,INSIDE,19.183964608864546,72.97322206682857,0.030019,0.002759,0.001481,0.03426
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.183784170491464,72.95303151503788,0.021491,0.002752,0.001461,0.025705
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.183638216172508,72.93839782870644,0.034387,0.002906,0.001471,0.038764
T2 (Scaled ×1.5),50,INSIDE,19.168108421287,72.9594449572932,0.029205,0.002883,0.001473,0.033562
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.1578746717441,72.95117048050034,0.02791,0.002776,0.001452,0.032138
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.17778560788827,72.97546385819805,0.032633,0.002772,0.001507,0.036912
T2 (Scaled ×1.5),50,INSIDE,19.18126497154311,72.9785068491995,0.034716,0.002784,0.001454,0.038955
T2 (Scaled ×1.5),50,OUTSIDE,19.159897199410825,72.96380369983093,0.032341,0.002801,0.00146,0.036603
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.15954673634068,72.95322842229751,0.031998,0.002837,0.001454,0.036289
T2 (Scaled ×1.5),50,INSIDE,19.16306617159317,72.94618094151438,0.026539,0.002771,0.001455,0.030765
T2 (Scaled ×1.5),50,INSIDE,19.17236383821425,72.96410710297472,0.033874,0.002902,0.001462,0.038238
T2 (Scaled ×1.5),50,OUTSIDE,19.158265965442975,72.96307239095724,0.034521,0.002766,0.001532,0.03882
T2 (Scaled ×1.5),50,OUTSIDE,19.191428648768156,72.95909677211155,0.030941,0.002867,0.001601,0.03541
T2 (Scaled ×1.5),50,OUTSIDE,19.172651905117696,72.93114482219178,0.028369,0.002788,0.001454,0.032611
T2 (Scaled ×1.5),50,INSIDE,19.18251900216213,72.9647774227794,0.026032,0.00277,0.001451,0.030254
T2 (Scaled ×1.5),50,OUTSIDE,19.189373438720878,72.99223545686974,0.03314,0.002765,0.001452,0.037357
T2 (Scaled ×1.5),50,OUTSIDE,19.156582179242008,72.98984363790575,0.032061,0.002762,0.001453,0.036277
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.15812898568505,72.95150096335942,0.027573,0.002761,0.001463,0.031797
T2 (Scaled ×1.5),50,OUTSIDE,19.171065363221622,72.98941865358942,0.029023,0.002779,0.001501,0.033303
T2 (Scaled ×1.5),50,OUTSIDE,19.18682319837586,72.96302896486426,0.019032,0.002759,0.001501,0.023293
T2 (Scaled ×1.5),50,OUTSIDE,19.14557613789657,72.95792808778022,0.03191,0.002764,0.001461,0.036135
T2 (Scaled ×1.5),50,INSIDE,19.181572287328073,72.93670860094151,0.034048,0.002753,0.00145,0.038252
T2 (Scaled ×1.5),50,ON_BOUNDARY,19.159121025395407,72.9527144040001,0.032977,0.002759,0.001452,0.037188
T2 (Scaled ×1.5),50,INSIDE,19.177380025162194,72.94569295837114,0.033311,0.002759,0.001444,0.037515
T2 (Scaled ×1.5),50,INSIDE,19.174076434226833,72.95975289210637,0.034103,0.002791,0.001459,0.038353
T2 (Scaled ×1.5),50,OUTSIDE,19.162160278823293,72.93723687668232,0.030851,0.002763,0.00145,0.035064
T2 (Scaled ×1.5),50,OUTSIDE,19.185175321840962,72.96826570356764,0.028604,0.002898,0.001466,0.032968
T2 (Scaled ×1.5),50,INSIDE,19.180394626587884,72.97496814721433,0.026863,0.002757,0.001454,0.031074
T2 (Scaled ×1.5),50,OUTSIDE,19.186819935307692,72.97921097731076,0.03344,0.002762,0.001455,0.037658
T2 (Scaled ×1.5),100,OUTSIDE,19.186064381545727,72.98611903079941,0.014071,0.002856,0.001463,0.018391
T2 (Scaled ×1.5),100,INSIDE,19.168124592769406,72.96254991981317,0.029841,0.002869,0.001471,0.034181
T2 (Scaled ×1.5),100,OUTSIDE,19.16731721170007,72.93347060045019,0.030408,0.00277,0.001453,0.034631
T2 (Scaled ×1.5),100,OUTSIDE,19.189903344313603,72.94398267431136,0.028047,0.002853,0.001455,0.032355
T2 (Scaled ×1.5),100,ON_BOUNDARY,19.173360530451795,72.97007071219237,0.033691,0.002886,0.001451,0.038029
T2 (Scaled ×1.5),100,INSIDE,19.181086136978177,72.96693107655769,0.034563,0.002833,0.001506,0.038902
T2 (Scaled ×1.5),100,OUTSIDE,19.16371432560838,72.97704535973709,0.033117,0.002779,0.001452,0.037348
T2 (Scaled ×1.5),100,ON_BOUNDARY,19.183883443480916,72.96287577432258,0.032458,0.002763,0.00146,0.036681
T2 (Scaled ×1.5),100,OUTSIDE,19.182720387392585,72.93004857069919,0.031359,0.002764,0.001457,0.03558
T2 (Scaled ×1.5),100,OUTSIDE,19.189779226903212,72.93966752393139,0.033374,0.00279,0.001457,0.037621
T2 (Scaled ×1.5),100,ON_BOUNDARY,19.17607329188991,72.97336112766187,0.033308,0.002779,0.001456,0.037543
T2 (Scaled ×1.5),100,INSIDE,19.181823206746206,72.97029178692209,0.027901,0.002761,0.001454,0.032117
T2 (Scaled ×1.5),100,INSIDE,19.177309501304457,72.95602045135271,0.030955,0.002876,0.001458,0.03529
T2 (Scaled ×1.5),100,INSIDE,19.17980387621881,72.94353693243994,0.021573,0.002776,0.001453,0.025803
T2 (Scaled ×1.5),100,ON_BOUNDARY,19.163695034453678,72.95828603315218,0.035294,0.003044,0.001462,0.0398
T2 (Scaled ×1.5),100,OUTSIDE,19.15561528645414,72.95288804700986,0.031008,0.002798,0.001562,0.035369
T2 (Scaled ×1.5),100,INSIDE,19.17280065417662,72.9465544146877,0.033768,0.002765,0.00149,0.038024
T2 (Scaled ×1.5),100,INSIDE,19.174136184291303,72.9613187371603,0.033271,0.002791,0.001452,0.037515
T2 (Scaled ×1.5),100,ON_BOUNDARY,19.16135251132447,72.94525719687815,0.030956,0.002788,0.001468,0.035213
T2 (Scaled ×1.5),100,OUTSIDE,19.185137183668235,72.94353790058835,0.030611,0.002805,0.00146,0.034876
T2 (Scaled ×1.5),100,INSIDE,19.17859971634653,72.94446603380425,0.033987,0.002782,0.001462,0.038231
T2 (Scaled ×1.5),100,ON_BOUNDARY,19.183743190981822,72.94924070538524,0.031988,0.002798,0.001468,0.036255
T2 (Scaled ×1.5),100,OUTSIDE,19.172916275388793,72.97606470429166,0.018783,0.00279,0.001458,0.023032
T2 (Scaled ×1.5),100,OUTSIDE,19.173545457628222,72.98905620009162,0.034105,0.002894,0.001458,0.038457
T2 (Scaled ×1.5),100,INSIDE,19.167768763468356,72.94454945676152,0.034504,0.002848,0.001457,0.03881
T2 (Scaled ×1.5),100,INSIDE,19.182658279288383,72.93873002870272,0.032177,0.002815,0.001454,0.036447
