Triangle,Class,Latitude,Longitude,GT_w1,GT_w2,GT_w3,CKKS_w1,CKKS_w2,CKKS_w3,Δw1,Δw2,Δw3,GT_Class,CKKS_Class
T1 (Default),INSIDE,19.162221131416203,72.9509304652485,0.0067092717,0.0206337521,0.9726569762,0.0067092726,0.0206337548,0.9726571066,0.0000000009,0.0000000027,0.0000001304,INSIDE,INSIDE
T1 (Default),ON_BOUNDARY,19.179704076582787,72.97245657274003,-0.0000363933,0.9406876249,0.0593487684,-0.0000363933,0.9406877511,0.0593487764,0.0000000000,0.0000001262,0.0000000080,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.17785859288166,72.97020767134579,-0.0000546132,0.8442852746,0.1557693386,-0.0000546133,0.8442853879,0.1557693595,0.0000000001,0.0000001133,0.0000000209,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.174289604662814,72.965865116219,-0.0002961789,0.6580551614,0.3422410176,-0.0002961790,0.6580552496,0.3422410635,0.0000000001,0.0000000882,0.0000000459,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.1807711705451,72.96674529517142,0.2190346339,0.7811457200,-0.0001803539,0.2190346633,0.7811458248,-0.0001803540,0.0000000294,0.0000001048,0.0000000001,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.18058322619271,72.948470378059,0.7828301018,0.2172514095,-0.0000815113,0.7828302068,0.2172514386,-0.0000815113,0.0000001050,0.0000000291,0.0000000000,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.17144927083822,72.94581039452845,0.5180969174,0.0002020805,0.4817010020,0.5180969869,0.0002020806,0.4817010666,0.0000000695,0.0000000001,0.0000000646,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.18066754807125,72.95759683644606,0.5009085391,0.4987177874,0.0003736735,0.5009086062,0.4987178543,0.0003736736,0.0000000671,0.0000000669,0.0000000001,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.167365331068563,72.95742042664695,-0.0001524451,0.2961441254,0.7040083197,-0.0001524451,0.2961441651,0.7040084141,0.0000000000,0.0000000397,0.0000000944,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.175464033164378,72.94386000225833,0.7319213039,-0.0001779813,0.2682566774,0.7319214020,-0.0001779813,0.2682567134,0.0000000981,0.0000000000,0.0000000360,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180540810572545,72.94415312033297,0.9160964393,0.0840666953,-0.0001631347,0.9160965622,0.0840667066,-0.0001631347,0.0000001229,0.0000000113,0.0000000000,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.18071743867343,72.96181158357965,0.3711295419,0.6288658303,0.0000046279,0.3711295916,0.6288659146,0.0000046279,0.0000000497,0.0000000843,0.0000000000,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.179128726105567,72.94210291211718,0.9263751884,0.0001885481,0.0734362634,0.9263753127,0.0001885482,0.0734362733,0.0000001243,0.0000000001,0.0000000099,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180356621659456,72.97325004055115,0.0000238434,0.9747216909,0.0252544656,0.0000238434,0.9747218217,0.0252544690,0.0000000000,0.0000001308,0.0000000034,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.17584945032053,72.94368899222623,0.7519414535,0.0002837816,0.2477747649,0.7519415544,0.0002837816,0.2477747981,0.0000001009,0.0000000000,0.0000000332,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.164347912363215,72.95372663586707,0.0003417813,0.1380085401,0.8616496786,0.0003417813,0.1380085586,0.8616497942,0.0000000000,0.0000000185,0.0000001156,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.16853207883926,72.95883934957106,-0.0000511753,0.3570032104,0.6430479649,-0.0000511753,0.3570032583,0.6430480512,0.0000000000,0.0000000479,0.0000000863,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.178475310195694,72.9424148696284,0.8917456210,0.0000822918,0.1081720872,0.8917457406,0.0000822918,0.1081721017,0.0000001196,0.0000000000,0.0000000145,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.173811648117717,72.94465682406494,0.6441008507,-0.0002031809,0.3561023303,0.6441009370,-0.0002031810,0.3561023780,0.0000000863,0.0000000001,0.0000000477,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.17161881407459,72.94572838823326,0.5271155057,0.0001970435,0.4726874508,0.5271155764,0.0001970435,0.4726875142,0.0000000707,0.0000000000,0.0000000634,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180710514274352,72.96187230950088,0.3689686232,0.6306277154,0.0004036614,0.3689686727,0.6306277999,0.0004036615,0.0000000495,0.0000000845,0.0000000001,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180629506546936,72.95249070993286,0.6589876240,0.3413766635,-0.0003642875,0.6589877124,0.3413767093,-0.0003642876,0.0000000884,0.0000000458,0.0000000001,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180755806410545,72.9656974598191,0.2511864574,0.7487455145,0.0000680281,0.2511864911,0.7487456149,0.0000680281,0.0000000337,0.0000001004,0.0000000000,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.174444607523117,72.96605256155075,-0.0002496367,0.6661077947,0.3341418421,-0.0002496368,0.6661078840,0.3341418869,0.0000000001,0.0000000893,0.0000000448,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180752855737246,72.9655542684349,0.2555477365,0.7443052671,0.0001469963,0.2555477708,0.7443053670,0.0001469963,0.0000000343,0.0000000999,0.0000000000,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180588776087028,72.95001630876848,0.7347428275,0.2647995560,0.0004576165,0.7347429260,0.2647995915,0.0004576166,0.0000000985,0.0000000355,0.0000000001,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180772959768433,72.96662307311709,0.2229212842,0.7774195618,-0.0003408460,0.2229213141,0.7774196661,-0.0003408460,0.0000000299,0.0000001043,0.0000000000,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.1761047759933,72.96808204862201,-0.0004335200,0.7530266721,0.2474068479,-0.0004335200,0.7530267731,0.2474068811,0.0000000000,0.0000001010,0.0000000332,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.167429256479704,72.95749461568629,-0.0000358954,0.2993694709,0.7006664245,-0.0000358954,0.2993695110,0.7006665185,0.0000000000,0.0000000401,0.0000000940,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180731560596634,72.96404982569679,0.3017392186,0.6977975912,0.0004631902,0.3017392591,0.6977976847,0.0004631903,0.0000000405,0.0000000935,0.0000000001,ON_BOUNDARY,ON_BOUNDARY
T1 (Default),ON_BOUNDARY,19.180548868677814,72.94561762150975,0.8706487383,0.1291518240,0.0001994378,0.8706488550,0.1291518413,0.0001994378,0.0000001167,0.0000000173,0.0000000000,ON_BOUNDARY,ON_BOUNDARY
